,path,sex,emotion
0,./ravdess/Actor_16/03-01-05-01-02-01-16.wav,female,angry
1,./ravdess/Actor_16/03-01-06-01-02-02-16.wav,female,fear
2,./ravdess/Actor_16/03-01-06-02-01-02-16.wav,female,fear
3,./ravdess/Actor_16/03-01-05-02-01-01-16.wav,female,angry
4,./ravdess/Actor_16/03-01-07-01-01-01-16.wav,female,disgust
5,./ravdess/Actor_16/03-01-04-01-01-02-16.wav,female,sad
6,./ravdess/Actor_16/03-01-04-02-02-02-16.wav,female,sad
7,./ravdess/Actor_16/03-01-07-02-02-01-16.wav,female,disgust
8,./ravdess/Actor_16/03-01-03-02-02-02-16.wav,female,happy
9,./ravdess/Actor_16/03-01-03-01-01-02-16.wav,female,happy
10,./ravdess/Actor_16/03-01-01-01-02-02-16.wav,female,neutral
11,./ravdess/Actor_16/03-01-03-02-01-01-16.wav,female,happy
12,./ravdess/Actor_16/03-01-03-01-02-01-16.wav,female,happy
13,./ravdess/Actor_16/03-01-01-01-01-01-16.wav,female,neutral
14,./ravdess/Actor_16/03-01-06-01-01-01-16.wav,female,fear
15,./ravdess/Actor_16/03-01-05-01-01-02-16.wav,female,angry
16,./ravdess/Actor_16/03-01-05-02-02-02-16.wav,female,angry
17,./ravdess/Actor_16/03-01-06-02-02-01-16.wav,female,fear
18,./ravdess/Actor_16/03-01-04-01-02-01-16.wav,female,sad
19,./ravdess/Actor_16/03-01-07-01-02-02-16.wav,female,disgust
20,./ravdess/Actor_16/03-01-07-02-01-02-16.wav,female,disgust
21,./ravdess/Actor_16/03-01-04-02-01-01-16.wav,female,sad
22,./ravdess/Actor_16/03-01-01-01-02-01-16.wav,female,neutral
23,./ravdess/Actor_16/03-01-03-01-01-01-16.wav,female,happy
24,./ravdess/Actor_16/03-01-03-02-02-01-16.wav,female,happy
25,./ravdess/Actor_16/03-01-07-02-02-02-16.wav,female,disgust
26,./ravdess/Actor_16/03-01-04-02-02-01-16.wav,female,sad
27,./ravdess/Actor_16/03-01-04-01-01-01-16.wav,female,sad
28,./ravdess/Actor_16/03-01-07-01-01-02-16.wav,female,disgust
29,./ravdess/Actor_16/03-01-05-02-01-02-16.wav,female,angry
30,./ravdess/Actor_16/03-01-06-02-01-01-16.wav,female,fear
31,./ravdess/Actor_16/03-01-06-01-02-01-16.wav,female,fear
32,./ravdess/Actor_16/03-01-05-01-02-02-16.wav,female,angry
33,./ravdess/Actor_16/03-01-04-02-01-02-16.wav,female,sad
34,./ravdess/Actor_16/03-01-07-02-01-01-16.wav,female,disgust
35,./ravdess/Actor_16/03-01-07-01-02-01-16.wav,female,disgust
36,./ravdess/Actor_16/03-01-04-01-02-02-16.wav,female,sad
37,./ravdess/Actor_16/03-01-06-02-02-02-16.wav,female,fear
38,./ravdess/Actor_16/03-01-05-02-02-01-16.wav,female,angry
39,./ravdess/Actor_16/03-01-05-01-01-01-16.wav,female,angry
40,./ravdess/Actor_16/03-01-06-01-01-02-16.wav,female,fear
41,./ravdess/Actor_16/03-01-01-01-01-02-16.wav,female,neutral
42,./ravdess/Actor_16/03-01-03-01-02-02-16.wav,female,happy
